X-Ray Fluorescence (XRF) Data Set from 29 Boreholes,,,,,,,,,,,,
,,,,,,,,,,,,
No.,Drill ID,Depth,Ni,Co,Fe2O3,SiO2,MgO,Cr2O3,Al2O3,MnO,CaO,Laterite Horizon
,,56,0.256,0.003,7.459,32.501,30.786,0.413,,,1.284,Bedrock
,,57,0.218,0.002,7.071,33.346,31.520,0.442,,,1.357,Bedrock
,,58,0.222,0.002,7.054,33.779,31.603,0.428,,,1.475,Bedrock
7,DDG 006,1,1.280,0.159,47.290,3.050,,0.910,,8.700,0.030,Limonite
,,2,1.330,0.122,48.580,2.640,,0.750,,7.860,0.020,Limonite
,,3,1.370,0.107,40.620,11.290,,2.970,,7.210,0.040,Limonite
,,4,1.580,0.122,47.370,6.930,,2.830,,8.170,0.030,Limonite
,,5,1.880,0.137,51.320,4.900,,1.750,,6.130,0.030,Limonite
,,6,1.570,0.130,48.270,4.470,,1.180,,7.010,0.020,Limonite
,,7,1.770,0.126,46.080,4.580,,1.050,,7.060,0.050,Limonite
,,8,2.150,0.127,44.270,6.380,,2.390,,6.770,0.060,Limonite
,,9,2.340,0.120,41.050,11.790,,4.840,,7.150,0.070,Limonite
,,10,1.610,0.084,30.210,17.330,,8.330,,5.590,0.800,Saprolite
,,11,0.220,0.003,6.530,17.340,,11.840,,0.600,1.670,Saprolite
,,12,0.330,0.003,6.700,17.410,,12.250,,0.530,1.690,Saprolite
,,13,1.670,0.043,16.920,27.780,,16.770,,3.650,1.420,Saprolite
,,14,2.400,0.080,27.120,21.090,,11.600,,4.620,0.590,Saprolite
,,15,0.640,0.004,6.940,37.300,,35.140,,1.480,1.240,Saprolite
,,16,0.630,0.008,7.340,35.620,,33.000,,1.660,1.290,Saprolite
,,17,0.560,0.006,7.340,36.700,,34.380,,1.670,1.310,Saprolite
,,18,0.900,0.006,7.390,38.340,,34.540,,1.520,1.190,Saprolite
,,19,0.460,0.004,6.840,37.860,,36.380,,1.540,1.490,Saprolite
,,20,0.220,0.003,6.670,18.440,,13.410,,0.540,1.660,Saprolite
,,21,0.230,0.001,6.170,18.570,,12.640,,0.730,2.010,Saprolite
,,22,1.267,0.021,11.042,35.295,,28.752,,2.235,1.361,Saprolite
,,23,2.100,0.040,14.700,34.860,,22.970,,3.020,0.900,Saprolite
,,24,0.790,0.010,8.330,37.450,,31.790,,1.780,0.900,Saprolite
,,25,0.838,0.072,22.157,17.512,,14.010,,4.944,0.880,Saprolite
,,26,1.390,0.007,7.420,38.670,,32.050,,1.800,1.080,Saprolite
,,27,1.890,0.019,10.130,35.320,,28.220,,1.960,0.530,Saprolite
,,28,1.200,0.016,9.400,37.290,,30.840,,2.010,0.680,Saprolite
,,29,0.420,0.004,6.510,19.540,,13.260,,0.520,0.840,Bedrock
,,30,0.210,0.003,6.430,18.050,,13.000,,0.500,1.100,Bedrock
,,31,0.190,0.003,6.490,18.910,,13.920,,0.460,0.860,Bedrock
,,32,0.250,0.002,6.380,19.760,,13.600,,0.590,1.300,Bedrock
,,33,0.210,0.003,6.580,18.040,13.030,,,0.540,1.730,Bedrock
8,DDG 007,1,0.641,0.083,50.776,0.814,1.186,3.042,,,8.571,Limonite
,,2,0.578,0.083,49.119,0.754,1.422,2.990,,,9.295,Limonite
,,3,0.639,0.085,48.899,0.837,1.069,2.848,,,9.036,Limonite
,,4,0.499,0.082,47.024,0.558,1.220,3.224,,,9.481,Limonite
,,5,0.480,0.079,48.739,0.581,1.132,3.259,,,9.404,Limonite
